DATE,CP0117PLM086NEST
1996-01-01,55.3
1996-02-01,60.3
1996-03-01,68.5
1996-04-01,80.2
1996-05-01,95.9
1996-06-01,91.2
1996-07-01,74.4
1996-08-01,62.5
1996-09-01,67.2
1996-10-01,70.2
1996-11-01,63.0
1996-12-01,58.4
1997-01-01,63.0
1997-02-01,63.2
1997-03-01,64.3
1997-04-01,69.5
1997-05-01,70.2
1997-06-01,80.1
1997-07-01,62.4
1997-08-01,48.1
1997-09-01,54.1
1997-10-01,58.0
1997-11-01,64.8
1997-12-01,71.1
1998-01-01,76.4
1998-02-01,79.5
1998-03-01,82.5
1998-04-01,87.4
1998-05-01,87.0
1998-06-01,86.6
1998-07-01,64.1
1998-08-01,43.7
1998-09-01,52.3
1998-10-01,58.3
1998-11-01,63.6
1998-12-01,69.8
1999-01-01,71.5
1999-02-01,71.5
1999-03-01,73.9
1999-04-01,78.2
1999-05-01,82.1
1999-06-01,85.7
1999-07-01,63.2
1999-08-01,51.4
1999-09-01,61.4
1999-10-01,70.9
1999-11-01,77.3
1999-12-01,82.8
2000-01-01,86.0
2000-02-01,89.0
2000-03-01,91.9
2000-04-01,95.8
2000-05-01,91.0
2000-06-01,84.6
2000-07-01,67.6
2000-08-01,54.3
2000-09-01,61.1
2000-10-01,65.3
2000-11-01,68.2
2000-12-01,74.1
2001-01-01,74.9
2001-02-01,75.0
2001-03-01,78.0
2001-04-01,84.7
2001-05-01,86.5
2001-06-01,86.9
2001-07-01,65.5
2001-08-01,55.3
2001-09-01,63.5
2001-10-01,69.9
2001-11-01,74.4
2001-12-01,79.7
2002-01-01,89.5
2002-02-01,92.3
2002-03-01,96.9
2002-04-01,100.4
2002-05-01,92.0
2002-06-01,86.8
2002-07-01,61.9
2002-08-01,52.6
2002-09-01,60.6
2002-10-01,69.9
2002-11-01,72.6
2002-12-01,76.6
2003-01-01,79.3
2003-02-01,81.2
2003-03-01,85.6
2003-04-01,91.6
2003-05-01,86.3
2003-06-01,84.7
2003-07-01,65.6
2003-08-01,54.1
2003-09-01,63.3
2003-10-01,68.1
2003-11-01,73.5
2003-12-01,78.2
2004-01-01,80.9
2004-02-01,81.3
2004-03-01,82.9
2004-04-01,85.8
2004-05-01,81.0
2004-06-01,86.9
2004-07-01,67.0
2004-08-01,58.1
2004-09-01,62.5
2004-10-01,65.5
2004-11-01,70.5
2004-12-01,75.6
2005-01-01,76.3
2005-02-01,77.3
2005-03-01,80.7
2005-04-01,83.0
2005-05-01,88.0
2005-06-01,87.0
2005-07-01,70.2
2005-08-01,61.9
2005-09-01,66.1
2005-10-01,74.6
2005-11-01,77.6
2005-12-01,81.4
2006-01-01,85.4
2006-02-01,89.5
2006-03-01,91.4
2006-04-01,96.1
2006-05-01,100.1
2006-06-01,95.4
2006-07-01,76.0
2006-08-01,76.4
2006-09-01,80.0
2006-10-01,86.7
2006-11-01,89.2
2006-12-01,90.2
2007-01-01,95.0
2007-02-01,98.4
2007-03-01,101.4
2007-04-01,108.7
2007-05-01,112.8
2007-06-01,104.4
2007-07-01,78.5
2007-08-01,67.6
2007-09-01,72.9
2007-10-01,75.4
2007-11-01,82.9
2007-12-01,87.9
2008-01-01,88.9
2008-02-01,89.2
2008-03-01,90.6
2008-04-01,94.0
2008-05-01,98.4
2008-06-01,95.7
2008-07-01,82.6
2008-08-01,69.9
2008-09-01,74.4
2008-10-01,80.5
2008-11-01,87.3
2008-12-01,93.4
2009-01-01,97.8
2009-02-01,101.2
2009-03-01,104.4
2009-04-01,111.5
2009-05-01,110.8
2009-06-01,102.5
2009-07-01,84.0
2009-08-01,75.8
2009-09-01,77.7
2009-10-01,82.0
2009-11-01,88.2
2009-12-01,93.2
2010-01-01,99.9
2010-02-01,104.7
2010-03-01,108.8
2010-04-01,115.7
2010-05-01,116.2
2010-06-01,113.7
2010-07-01,102.2
2010-08-01,86.1
2010-09-01,96.2
2010-10-01,103.4
2010-11-01,107.8
2010-12-01,111.8
2011-01-01,117.4
2011-02-01,118.4
2011-03-01,120.3
2011-04-01,123.9
2011-05-01,130.2
2011-06-01,110.4
2011-07-01,90.7
2011-08-01,77.8
2011-09-01,76.5
2011-10-01,79.5
2011-11-01,87.0
2011-12-01,91.4
2012-01-01,96.9
